Algorithm,Set,RMSE,IFT_Actual,IFT_Prediction,Residual,Standarized,Set Overall Results,R,RMSE,
XGB,Testing,0.000373687,4.7,4.719330992,-0.019330992,-0.033374706,,,,
XGB,Testing,0.06137515,24.2,23.95225991,0.247740086,0.130540729,,,,
XGB,Testing,0.885580952,8.5,9.441053108,-0.941053108,-0.599083588,,,,
XGB,Testing,5.583521562,4.4,6.762947643,-2.362947643,-1.471774342,,,,
XGB,Testing,1.54838E-05,4.7,4.696065059,0.003934941,-0.01909519,,,,
XGB,Testing,1.148462354,20.651,19.57933664,1.071663359,0.636225367,,,,
XGB,Testing,31.26394296,18.029,12.4375831,5.591416901,3.410233587,,,,
XGB,Testing,3.037207543,10.394,8.651241399,1.742758601,1.04811148,,,,
XGB,Testing,56.66868881,36.416,28.88813916,7.527860839,4.598730117,,,,
XGB,Testing,0.012514741,26.2,26.3118693,-0.111869302,-0.090170287,,,,
XGB,Testing,0.00174422,22.3,22.34176387,-0.041763865,-0.047142928,,,,
XGB,Testing,1.63645E-06,7.4,7.401279239,-0.001279239,-0.022295404,,,,
XGB,Testing,0.723009621,1.85,0.999700276,0.850299724,0.500362972,,,,
